text,label
"Win money now",spam
"Claim your free prize",spam
"Meeting at 5 PM",ham
"Project submission tomorrow",ham
"Congratulations you won lottery",spam
"Let's have lunch today",ham
"Get free recharge now",spam
"Important office update",ham
"Exclusive offer just for you",spam
"Team meeting rescheduled",ham
"Free vacation package available",spam
"Submit your assignment today",ham
"You have won a cash prize",spam
"Call me when you are free",ham
"Urgent! Your account is blocked",spam
"Can we discuss the project?",ham
"Limited time offer available",spam
"Happy birthday have a great day",ham
"Your OTP is 4567",ham
"Click here to claim reward",spam
"Let's go for dinner tonight",ham
"You are selected as winner",spam
"Please send the report today",ham
"Get free Netflix subscription",spam
"Are you coming to class?",ham
"Lowest prices only today",spam
"Meeting postponed to Monday",ham
"Earn money from home easily",spam
"Good morning have a nice day",ham
"Your interview is scheduled tomorrow",ham
"Free entry in lucky draw",spam
"Please review the attached document",ham
"Congratulations! Free iPhone waiting",spam
"Can you help me with assignment?",ham
"Recharge now and get cashback",spam
"Family function on Sunday",ham
"Claim bonus reward immediately",spam
"Your package has been delivered",ham
"Cheap loan approval instantly",spam
"Don't forget today's meeting",ham
